0 3.112792 2.675523 4.088046 5.064709 5.951260 4.348481 6.603215 7.637937 5.509213 5.654006 8.315379 
1 3.125382 2.707440 4.100889 5.098533 5.982762 4.372247 6.557442 7.685004 5.460277 5.735839 8.371084 
2 3.173394 2.763919 4.095562 5.078714 5.969824 4.442404 6.553096 7.712563 5.489652 5.813951 8.385835 
3 3.172714 2.776051 4.089346 5.073941 5.990419 4.469370 6.495181 7.764252 5.518113 5.881463 8.426604 
4 3.169978 2.803682 4.090260 5.025166 5.982800 4.532716 6.478408 7.789258 5.575485 5.915946 8.418605 
5 3.169676 2.864885 4.157650 5.020647 6.005082 4.619173 6.509884 7.850138 5.624864 5.931661 8.415667 
6 3.085372 2.888016 4.246020 5.049298 6.123545 4.637459 6.477544 7.924566 5.562760 5.905225 8.485053 
7 3.050684 2.956548 4.287649 5.021937 6.194547 4.703914 6.519889 7.955631 5.530823 5.859763 8.493629 
8 3.067162 3.044575 4.335481 5.022450 6.232100 4.792231 6.605121 7.995407 5.530893 5.845394 8.480197 
9 3.010737 3.029891 4.346688 5.021571 6.291201 4.774647 6.571305 7.969699 5.461731 5.804681 8.531986 
10 3.014845 3.016505 4.353110 5.016263 6.289017 4.809504 6.584023 7.920572 5.455069 5.788710 8.535689 
11 3.049852 3.003008 4.376038 5.058592 6.261341 4.878134 6.606710 7.929035 5.459711 5.831738 8.519606 
12 3.011435 2.906371 4.347805 5.059526 6.259607 4.859259 6.516990 7.923486 5.412113 5.835012 8.554299 
13 3.031624 2.808994 4.289583 5.032240 6.197921 4.871206 6.470142 7.883208 5.454214 5.810975 8.533484 
14 3.061287 2.731077 4.252053 5.070713 6.145624 4.893738 6.432334 7.889163 5.555866 5.850673 8.497776 
15 3.076921 2.688627 4.235693 5.131536 6.115368 4.902595 6.384183 7.913149 5.670196 5.894255 8.474730 
16 3.096028 2.691767 4.139684 5.094571 6.010499 4.970541 6.409091 7.847282 5.837770 5.842238 8.398890 
17 3.064772 2.704564 4.018462 5.005493 5.919416 5.019457 6.410780 7.729497 5.972395 5.745309 8.354502 
18 3.076949 2.802907 3.995745 5.001907 5.877028 5.085107 6.450191 7.679766 6.099149 5.714343 8.326791 
19 3.147898 2.910536 3.964829 5.006869 5.838306 5.167940 6.531430 7.623864 6.218808 5.692712 8.254912 
20 3.180469 2.915712 3.898020 4.998199 5.836166 5.141882 6.536495 7.540723 6.277798 5.661522 8.241933 
21 3.281324 2.957533 3.902179 5.031131 5.834676 5.142297 6.575889 7.517920 6.365183 5.696527 8.210126 
22 3.362088 2.975280 3.928073 5.038149 5.831915 5.141162 6.588430 7.519060 6.435549 5.762359 8.177773 
23 3.386447 2.915989 3.934849 4.985855 5.845533 5.094004 6.527939 7.464767 6.443599 5.797649 8.184523 
24 3.438781 2.935566 3.987599 4.916847 5.835540 5.133803 6.531023 7.441405 6.452960 5.846209 8.186158 
25 3.491798 2.898152 3.997866 4.816017 5.781972 5.134392 6.507823 7.416002 6.474824 5.894845 8.222147 
26 3.578022 2.851070 4.003356 4.754052 5.693151 5.113723 6.486331 7.405879 6.528463 5.946309 8.244718 
27 3.678135 2.866116 4.027447 4.744350 5.608411 5.137958 6.516126 7.429923 6.598976 6.015816 8.235579 
28 3.711669 2.829058 4.005697 4.689774 5.581142 5.094691 6.512217 7.409385 6.587965 6.017680 8.275637 
29 3.724675 2.804688 3.973111 4.623740 5.578077 5.054724 6.534218 7.367456 6.556412 5.986825 8.293684 
30 3.746758 2.767544 3.891165 4.517759 5.527437 5.029513 6.580820 7.275313 6.566274 5.937479 8.225843 
31 3.750504 2.723677 3.854435 4.468029 5.514597 4.960692 6.585823 7.206869 6.542846 5.883063 8.176100 
32 3.697976 2.762006 3.923398 4.495102 5.563437 4.907375 6.576040 7.204859 6.460820 5.846848 8.162455 
33 3.599679 2.792474 3.992478 4.501889 5.617972 4.847799 6.518921 7.153469 6.356252 5.770923 8.159449 
34 3.500410 2.797493 4.036578 4.480450 5.633415 4.812973 6.445446 7.048942 6.300646 5.645081 8.114454 
35 3.461621 2.853144 4.102306 4.494833 5.621137 4.813221 6.405484 6.997891 6.310722 5.576888 8.054651 
36 3.461052 2.870710 4.111719 4.483943 5.550280 4.799678 6.373182 6.923622 6.376320 5.513032 7.987029 
