0 2.769257 12.391123 4.210732 3.817601 4.739514 8.674826 7.020648 6.365810 
1 2.810700 12.411814 4.217031 3.862954 4.707590 8.734102 6.980473 6.302556 
2 2.870176 12.461255 4.242342 3.943399 4.721826 8.836953 6.987997 6.274755 
3 2.880784 12.444271 4.206864 3.906185 4.697051 8.804941 6.881975 6.232430 
4 2.908680 12.381708 4.127298 3.867430 4.690554 8.801794 6.802655 6.157450 
5 2.943611 12.300978 4.026557 3.848211 4.685666 8.855641 6.762426 6.077447 
6 2.897515 12.239104 3.919246 3.781489 4.614028 8.820392 6.640704 5.977499 
7 2.827899 12.217275 3.843287 3.744687 4.545267 8.781334 6.511461 5.901508 
8 2.828661 12.150825 3.779985 3.710760 4.530091 8.779232 6.461236 5.862828 
9 2.844908 12.086370 3.725422 3.692387 4.526466 8.791080 6.415550 5.814648 
10 2.826847 12.068607 3.674173 3.719195 4.476496 8.819279 6.359111 5.775429 
11 2.783983 12.016683 3.584905 3.694333 4.385089 8.814665 6.286318 5.717174 
12 2.741530 11.988210 3.508869 3.654119 4.300024 8.786903 6.197004 5.655761 
13 2.745839 11.979445 3.461687 3.599120 4.262363 8.774140 6.137309 5.657862 
14 2.779460 11.997334 3.441736 3.554056 4.264058 8.764254 6.091861 5.683035 
15 2.841128 12.022947 3.427531 3.537055 4.274961 8.795931 6.079281 5.680818 
16 2.879030 12.006540 3.371568 3.472623 4.252570 8.802216 6.064556 5.644308 
17 2.837408 11.968906 3.286880 3.350599 4.161574 8.723821 5.968854 5.580828 
18 2.864797 11.942346 3.264277 3.276754 4.157881 8.674389 5.884179 5.604788 
19 2.910126 11.957637 3.336303 3.296400 4.234287 8.633240 5.816351 5.706441 
20 2.924855 11.976838 3.429180 3.331928 4.299828 8.553679 5.739675 5.766291 
21 2.913001 11.960929 3.482205 3.347882 4.329182 8.487509 5.706825 5.767009 
22 2.839189 11.957942 3.496345 3.381394 4.312135 8.454558 5.719207 5.740062 
23 2.812319 11.931820 3.498620 3.422324 4.330950 8.469368 5.786210 5.736818 
24 2.758190 11.899487 3.526526 3.417340 4.358894 8.412808 5.789877 5.785578 
25 2.689795 11.836869 3.545342 3.369538 4.393384 8.290558 5.718202 5.829263 
26 2.673015 11.787013 3.549853 3.330497 4.456174 8.219759 5.677022 5.857199 
27 2.653966 11.774918 3.511339 3.310288 4.489986 8.195500 5.679845 5.863932 
28 2.706199 11.757306 3.494216 3.357271 4.539631 8.250579 5.766758 5.827881 
29 2.760949 11.752737 3.495074 3.385351 4.560947 8.281964 5.811038 5.800055 
30 2.779652 11.789744 3.499898 3.390972 4.584557 8.256144 5.784595 5.831930 
31 2.862109 11.845736 3.500269 3.415976 4.676473 8.277281 5.778330 5.896857 
32 2.925886 11.924155 3.493849 3.449450 4.736055 8.277686 5.777458 5.959557 
33 2.927465 11.958528 3.434752 3.466621 4.702606 8.236547 5.782738 5.976850 
34 2.882700 11.985442 3.335299 3.424400 4.591784 8.167239 5.786996 5.945667 
35 2.853129 12.062552 3.269071 3.408346 4.519955 8.124427 5.818400 5.960530 
36 2.921256 12.134878 3.278293 3.464610 4.595376 8.150931 5.914612 6.037868 
37 2.882472 12.224342 3.305823 3.457647 4.620877 8.097778 5.900591 6.083951 
38 2.746527 12.263528 3.291252 3.352310 4.559424 7.977759 5.802947 6.091670 
39 2.706563 12.259917 3.271449 3.299144 4.564665 7.946465 5.768224 6.092206 
40 2.731439 12.266245 3.279453 3.243910 4.592744 7.964395 5.741273 6.120943 
41 2.793340 12.284727 3.319537 3.235756 4.619929 7.978977 5.695161 6.184844 
42 2.851310 12.290369 3.356484 3.178211 4.601599 7.955842 5.607677 6.224538 
43 2.895014 12.298325 3.380062 3.100430 4.551999 7.929258 5.532798 6.254980 
44 2.938230 12.295169 3.384835 3.076292 4.506317 7.940296 5.517744 6.242773 
45 2.942789 12.294562 3.368454 3.051489 4.429555 7.944728 5.495710 6.184613 
46 2.984250 12.295810 3.365064 3.078518 4.410807 7.981981 5.524911 6.163690 
47 3.021610 12.374769 3.399570 3.143555 4.423461 7.987629 5.570666 6.174197 
48 2.978179 12.515990 3.457923 3.169002 4.409094 7.914087 5.539820 6.181059 
49 2.958484 12.656546 3.534652 3.256371 4.435557 7.876431 5.559763 6.198604 
50 2.911506 12.789340 3.559407 3.344489 4.428256 7.872736 5.611995 6.143988 
