0 2.846338 3.107492 3.951650 5.421587 6.713210 4.638427 8.875806 5.054433 8.127404 8.080482 
1 2.856699 3.081128 3.874238 5.359177 6.684882 4.649956 8.950170 5.079367 8.143711 7.979940 
2 2.873792 3.077922 3.814481 5.282276 6.682345 4.687200 9.046169 5.117563 8.145329 7.881151 
3 2.879110 3.066084 3.756707 5.215805 6.682650 4.651712 9.078597 5.115016 8.136567 7.878891 
4 2.883147 3.079008 3.763050 5.171739 6.701496 4.567740 9.098843 5.089211 8.167020 7.935758 
5 2.843012 3.109982 3.756186 5.119916 6.725916 4.546851 9.113474 5.035295 8.152863 7.949639 
6 2.774305 3.189946 3.775264 5.073626 6.731882 4.586001 9.135607 4.968867 8.131081 7.956582 
7 2.711951 3.291735 3.856234 5.062263 6.733225 4.633358 9.174098 4.913359 8.130308 8.021184 
8 2.642495 3.342086 3.908051 5.082644 6.714156 4.613677 9.141899 4.819233 8.061552 8.097057 
9 2.686877 3.337814 3.959530 5.065912 6.756461 4.634731 9.134329 4.822320 7.972881 8.115195 
10 2.763732 3.317793 3.993033 5.061474 6.789332 4.698166 9.152420 4.857194 7.834878 8.052474 
11 2.794556 3.349128 4.063545 5.153257 6.737563 4.666485 9.177055 4.778383 7.747098 8.122977 
12 2.832932 3.341089 4.110497 5.196974 6.696210 4.660937 9.204150 4.738305 7.654843 8.155157 
13 2.866019 3.296600 4.143641 5.198550 6.668323 4.641131 9.211973 4.721474 7.533046 8.143909 
14 2.876760 3.254444 4.189141 5.174876 6.640440 4.596447 9.218323 4.704219 7.419939 8.149912 
15 2.845167 3.204264 4.198984 5.115685 6.626586 4.614063 9.224722 4.708405 7.300015 8.061436 
16 2.841604 3.230773 4.283116 5.096667 6.688946 4.642634 9.297253 4.672490 7.297803 8.082683 
17 2.843639 3.244013 4.323670 5.036704 6.788819 4.699255 9.342080 4.663023 7.283826 8.071384 
18 2.790109 3.225662 4.294063 4.996145 6.858841 4.674189 9.291009 4.602626 7.241762 8.063607 
19 2.737609 3.161731 4.201739 4.923073 6.949990 4.606474 9.179476 4.564472 7.170056 8.038763 
20 2.708794 3.083440 4.105916 4.818325 7.090929 4.592982 9.089243 4.621906 7.102609 8.010028 
21 2.713879 3.078532 4.116189 4.782116 7.203595 4.562176 9.073797 4.688143 7.128788 8.070941 
22 2.704064 3.010136 4.054773 4.718060 7.280672 4.560178 9.041771 4.778159 7.083918 8.017806 
23 2.700190 2.982234 4.031733 4.707686 7.304600 4.485799 9.032928 4.827313 7.094761 7.994622 
24 2.737881 3.003975 4.059446 4.709813 7.314954 4.388891 9.074911 4.871840 7.183095 8.010260 
