Xdisp,Ydisp,Inclin,Tip,Ax-Bend,Shear,Stretch,Stagger,Buckle,Propel,Opening,Shift,Slide,Rise,Tilt,Roll,Twist,H-ris,H-twi,Alpha_1,Beta_1,Gamma_1,Delta_1,Epsilon_1,Zeta_1,Chi_1,Phase_1,Ampli_1,Alpha_2,Beta_2,Gamma_2,Delta_2,Epsilon_2,Zeta_2,Chi_2,Phase_2,Ampli_2,W12,D12,W21,D21
-0.15449999999999997,0.10849999999999997,-0.19499999999999978,0.6249999999999998,4.975,-0.04400000000000001,0.0029999999999999983,0.132,-0.775,-7.815,3.31,-0.010499999999999987,-0.0014999999999999653,3.4130000000000003,-0.10500000000000007,0.3450000000000002,36.35,3.406,37.019999999999996,-68.98500000000001,112.26000000000002,55.175,136.04000000000002,-70.3,-66.83000000000001,-111.39500000000001,114.08,42.059999999999995,-71.185,77.725,54.07500000000001,138.83499999999998,-86.59,-64.72500000000001,-109.10999999999999,68.54499999999999,39.904999999999994,5.232558139534884,5.209302325581396,10.52051282051282,4.5666666666666655
-0.2685,0.05400000000000003,-1.3249999999999997,0.15500000000000008,4.624999999999999,0.03150000000000001,0.038,-0.022500000000000013,-3.4349999999999996,-9.67,1.515,0.00499999999999996,-0.1305,3.4044999999999996,0.26000000000000006,-0.9949999999999998,35.75,3.4270000000000005,36.47,-72.19500000000001,78.875,55.709999999999994,138.21499999999997,-68.465,-51.069999999999986,-109.13499999999999,118.19500000000001,42.33,-71.94500000000001,25.28000000000001,55.80500000000001,133.2,-53.94499999999999,-77.82000000000001,-110.72,129.2,39.625,5.016279069767443,5.402325581395348,10.833333333333336,4.805555555555556
-0.183,0.03650000000000001,0.3450000000000001,0.79,4.58,-0.0125,0.011499999999999998,0.017500000000000005,0.8,-10.025,0.4849999999999999,-0.052000000000000005,-0.023000000000000013,3.349,-0.7150000000000001,-0.11000000000000024,36.135000000000005,3.3154999999999992,36.75,-67.455,78.365,52.94,138.13500000000002,-67.99499999999999,-50.415,-105.66,105.36000000000001,39.36999999999999,-75.035,60.05499999999999,57.30499999999999,132.76,-83.99499999999999,-46.440000000000005,-115.28500000000001,129.24500000000003,39.67999999999999,5.176744186046512,5.495348837209303,10.923076923076922,4.697435897435898
-0.3175,0.04849999999999998,-1.1700000000000002,-0.8900000000000002,4.53,-0.0635,0.0115,0.040499999999999994,-3.3150000000000004,-9.700000000000001,0.735,-0.011999999999999992,-0.1495,3.3270000000000004,0.36500000000000005,-0.3700000000000001,35.14,3.3150000000000004,35.790000000000006,-75.53,97.16999999999999,55.73,131.93499999999997,-83.58000000000001,-46.415000000000006,-114.33,104.21,40.405,-74.04,-6.270000000000001,52.48,140.21499999999997,-49.32000000000001,-51.085,-109.15,114.10999999999999,42.865,5.276744186046512,5.29767441860465,10.95897435897436,4.8
-0.12400000000000003,-0.005500000000000016,-1.47,-0.95,4.114999999999999,0.02049999999999999,0.082,0.129,1.7999999999999996,-10.705,2.3449999999999998,0.095,-0.04199999999999998,3.3615000000000004,1.4100000000000001,-1.0450000000000002,35.635,3.3045,36.41,-70.58500000000001,127.00000000000003,55.32000000000001,133.12,-68.32,-63.339999999999996,-111.92,77.67999999999998,42.065000000000005,-75.03,78.8,56.035000000000004,138.12500000000003,-82.675,-33.605000000000004,-110.13499999999999,115.505,40.605000000000004,5.079069767441862,5.351162790697674,11.097500000000002,4.3375
-0.017499999999999995,0.06399999999999999,0.525,1.2899999999999998,4.455,0.045,0.016000000000000004,0.08549999999999999,-4.58,-10.385,2.16,-0.07549999999999998,0.174,3.3329999999999997,-0.12000000000000002,-0.039999999999999855,35.83,3.312,36.555,-73.195,94.47500000000001,55.629999999999995,136.525,-64.86,-31.089999999999996,-111.575,144.655,42.31,-66.89500000000001,125.405,53.78000000000001,131.38500000000002,-120.27000000000001,-48.315000000000005,-108.38999999999999,71.78,41.445,5.497674418604651,5.376744186046511,10.865,4.137499999999999
0.14600000000000002,-0.014500000000000002,0.030000000000000072,0.945,4.65,-0.018500000000000016,-0.0075000000000000015,-0.0895,-4.425,-8.115,1.4,0.0014999999999999903,0.179,3.37,-0.505,0.34499999999999975,36.155,3.3575000000000004,36.91,-73.385,59.65499999999999,55.42,134.74,-103.35999999999999,-31.175,-109.44500000000001,135.37,40.690000000000005,-74.02,74.725,53.11,136.645,-96.97999999999999,-34.07,-110.06000000000002,82.975,38.815,5.344186046511628,5.476744186046511,10.921951219512195,4.214634146341463
-0.04050000000000002,0.02649999999999999,-1.1600000000000001,0.015000000000000213,4.195,0.1,0.023999999999999997,0.101,-5.244999999999999,-9.42,1.9649999999999999,-0.011499999999999993,0.01999999999999999,3.4065000000000003,0.47999999999999987,-1.0750000000000004,36.080000000000005,3.344,36.67,-73.17499999999998,42.81499999999998,55.50999999999999,138.02,-103.98999999999998,-50.965,-108.335,107.335,40.07,-70.46,92.925,52.1,135.895,-113.99000000000001,-33.92,-106.58,97.525,38.544999999999995,4.9976744186046504,5.530232558139534,11.209999999999999,4.2025
-0.075,-0.203,0.2549999999999997,-1.0,4.595000000000001,0.028500000000000008,-0.015,0.0635,-0.5150000000000002,-8.105,-0.8299999999999998,0.1285,0.0705,3.4044999999999996,0.765,-0.44499999999999995,36.43000000000001,3.4135,37.03500000000001,-69.89500000000001,93.50500000000001,55.67,134.04000000000002,-104.21499999999999,-50.455,-110.55499999999999,106.96,39.75,-74.20500000000001,93.53,55.705,140.09000000000003,-75.88,-22.740000000000002,-110.79,134.96,40.269999999999996,5.906976744186046,5.346511627906977,10.521951219512195,3.951219512195122
-0.199,0.0030000000000000083,0.08500000000000033,0.8,4.475,0.013000000000000003,0.03600000000000002,0.050000000000000024,0.16000000000000014,-10.4,1.9899999999999998,0.0395,-0.05599999999999998,3.3765,-0.10000000000000009,-0.09499999999999967,36.435,3.3375,37.085,-69.76500000000001,60.789999999999985,52.339999999999996,137.75000000000003,-67.44499999999998,-48.44,-108.475,116.94500000000001,40.879999999999995,-70.97,124.11500000000004,54.870000000000005,137.465,-100.4,-69.52000000000001,-113.88000000000002,132.385,41.459999999999994,4.904651162790698,5.330232558139534,10.425714285714285,5.094285714285714
-0.12150000000000001,0.1315,-1.145,1.2449999999999999,4.130000000000001,0.0615,0.02950000000000001,0.07,-2.475,-8.889999999999997,1.0450000000000002,-0.08449999999999999,0.010999999999999992,3.405,0.029999999999999805,-1.4250000000000003,36.160000000000004,3.4120000000000004,36.755,-69.98,126.05,57.02,135.33499999999998,-134.83999999999997,-67.41,-110.88499999999999,116.775,39.465,-69.05999999999999,87.18500000000002,61.485000000000014,136.47499999999997,-107.13,-78.97,-113.17499999999998,116.08000000000001,38.775,5.497674418604651,5.346511627906977,10.786486486486487,4.813513513513513
0.02849999999999998,-0.033999999999999996,-1.605,1.5599999999999998,4.159999999999999,-0.046,0.0034999999999999996,0.23249999999999998,2.495,-9.955000000000002,1.8050000000000002,-0.04600000000000002,-0.0475,3.3650000000000007,-0.8699999999999999,-1.3949999999999998,36.14,3.3324999999999996,36.575,-67.135,87.32500000000002,54.379999999999995,138.5,-118.26000000000002,-19.590000000000003,-108.6,154.235,42.055,-73.20499999999998,84.905,61.62000000000002,136.52,-96.285,-33.9,-110.02000000000001,131.07999999999998,42.545,4.972093023255814,5.390697674418604,10.642105263157896,4.376315789473685
0.009500000000000008,-0.017499999999999995,-0.7800000000000001,0.975,4.175,0.0325,-0.0025000000000000022,0.13849999999999998,-4.175000000000001,-7.595000000000001,2.74,-0.040499999999999994,0.012499999999999983,3.3600000000000003,0.10000000000000009,-0.9750000000000002,36.010000000000005,3.3404999999999996,36.575,-71.47999999999999,74.85500000000002,54.455,137.72,-117.21499999999999,-54.45,-112.205,135.47,41.519999999999996,-70.71000000000001,105.21499999999999,72.24499999999999,134.945,-112.595,-30.555000000000007,-109.75,132.41,41.394999999999996,5.011627906976744,5.353488372093023,10.813157894736841,4.75
-0.009,0.031000000000000017,0.43000000000000027,-0.019999999999999952,4.045,-0.03499999999999999,0.033,0.07250000000000001,-1.4250000000000003,-9.040000000000001,1.6749999999999996,0.011000000000000015,0.1585,3.3385,0.8699999999999999,0.40500000000000025,36.19500000000001,3.3365,36.705,-72.2,60.65000000000001,55.96,134.375,-51.75,-43.559999999999995,-107.67999999999999,137.825,40.40500000000001,-75.15,89.08,58.71,142.01,-84.26000000000002,-45.730000000000004,-106.6,89.555,41.23,5.18139534883721,5.388372093023255,10.802380952380952,4.166666666666666
-0.04849999999999999,0.07049999999999998,0.9199999999999999,-1.0899999999999999,4.1,-0.0014999999999999985,0.0325,0.27799999999999997,-4.1450000000000005,-10.415000000000001,2.33,0.029000000000000036,0.10499999999999998,3.3175000000000003,1.1800000000000002,0.04499999999999997,35.865,3.3214999999999995,36.34,-71.05499999999999,62.815,57.45000000000001,135.13000000000002,-69.88500000000002,-48.05499999999999,-108.82499999999997,134.275,41.38,-70.80999999999999,107.215,59.705,139.215,-84.69500000000002,-47.44499999999999,-106.73999999999998,119.66000000000001,43.315000000000005,5.176744186046512,5.388372093023256,10.878048780487806,4.639024390243903
-0.0655,0.06899999999999999,-0.4549999999999995,-1.0050000000000001,4.11,-0.05149999999999999,0.03149999999999999,0.00849999999999999,2.545,-10.940000000000001,1.7149999999999999,-0.007999999999999998,0.0355,3.353,0.42000000000000004,-0.09500000000000028,36.06,3.3455,36.52,-68.42499999999998,127.25500000000002,56.464999999999996,133.93,-87.89500000000001,-83.25,-108.22999999999999,130.28500000000003,40.51,-73.97,90.59,61.27500000000001,139.58499999999998,-137.635,-67.75500000000001,-109.42999999999999,138.105,41.60000000000001,5.02093023255814,5.369767441860465,10.627027027027028,4.781081081081081
0.055500000000000015,-0.16549999999999998,1.5350000000000001,1.125,3.8600000000000003,-0.08499999999999999,-0.021,0.003999999999999998,-0.7300000000000001,-12.979999999999999,1.105,0.03399999999999999,0.1265,3.3165,-0.325,0.06499999999999999,36.475,3.288499999999999,36.71000000000001,-72.705,109.155,59.03000000000001,138.16,-120.97000000000003,-51.92999999999999,-106.03,118.85499999999999,44.404999999999994,-74.28,124.77000000000005,61.925,136.37,-119.98999999999998,-81.62,-109.0,101.66499999999999,40.575,4.94186046511628,5.351162790697674,10.693023255813953,4.251162790697674
0.11849999999999998,-0.025500000000000016,-0.2699999999999999,0.11500000000000013,4.46,-0.14800000000000002,0.034,0.20750000000000002,-3.465,-10.34,1.4550000000000003,0.04599999999999998,0.12300000000000003,3.367,0.3750000000000001,-0.4700000000000001,35.945,3.344,36.515,-71.95,107.965,56.279999999999994,135.83499999999998,-79.30999999999999,-38.13,-109.29,115.725,40.894999999999996,-77.045,102.455,44.58999999999999,138.35999999999999,-114.05000000000003,-47.11000000000001,-110.125,127.25999999999999,39.815,5.2046511627906975,5.530232558139534,10.760975609756096,4.036585365853659
