Xdisp,Ydisp,Inclin,Tip,Ax-Bend,Shear,Stretch,Stagger,Buckle,Propel,Opening,Shift,Slide,Rise,Tilt,Roll,Twist,H-ris,H-twi,Alpha_1,Beta_1,Gamma_1,Delta_1,Epsilon_1,Zeta_1,Chi_1,Phase_1,Ampli_1,Alpha_2,Beta_2,Gamma_2,Delta_2,Epsilon_2,Zeta_2,Chi_2,Phase_2,Ampli_2,W12,D12,W21,D21
-0.3390000000000001,-0.10500000000000002,0.825,0.13,4.750000000000001,0.058499999999999996,-0.010000000000000002,-0.01899999999999999,-1.9899999999999998,-8.770000000000001,1.6299999999999994,-0.004499999999999995,-0.1045,3.433,-0.205,-0.17500000000000002,35.05,3.3999999999999995,35.730000000000004,-73.355,89.27999999999999,58.06000000000002,138.815,-102.97500000000002,-45.10999999999999,-110.26000000000002,102.455,41.385000000000005,-76.315,110.15499999999997,62.31999999999999,131.54999999999998,-85.22,-56.4,-111.215,111.65,39.49999999999999,5.318604651162789,5.353488372093023,11.289743589743587,4.561538461538462
-0.5469999999999999,0.017999999999999988,-2.925,1.15,4.935,-0.0215,0.0295,0.0375,1.855,-6.1,2.8,-0.1115,-0.4205,3.4490000000000003,-0.9149999999999998,-2.545,34.58,3.503000000000001,35.394999999999996,-71.58500000000001,108.09,57.495000000000005,141.23499999999999,-121.26000000000002,-65.59499999999998,-116.125,123.96499999999999,41.27499999999999,-79.14,73.84500000000001,63.915,131.29500000000002,-118.83000000000001,-59.330000000000005,-117.14999999999998,125.80499999999999,39.58,4.941860465116278,5.348837209302326,11.183333333333334,4.95
-0.2975,0.06800000000000002,-0.6650000000000008,0.3300000000000001,5.0600000000000005,-0.0055,0.041499999999999995,-0.031000000000000007,4.085,-10.260000000000002,2.6399999999999997,-0.09650000000000002,-0.21499999999999994,3.4505000000000003,-0.009999999999999976,-0.8349999999999994,34.55,3.476,35.515,-73.095,71.74,62.17500000000001,136.825,-109.09000000000003,-73.53,-112.58,99.28,40.19500000000001,-73.05999999999999,90.71000000000001,40.655,135.075,-80.99000000000001,-42.285,-107.975,118.37,41.019999999999996,5.02093023255814,5.38372093023256,11.197058823529412,4.738235294117646
-0.277,-0.23250000000000007,-1.1949999999999998,-0.22999999999999998,5.255000000000001,-0.153,0.03699999999999999,-0.09649999999999999,2.9000000000000004,-9.3,2.87,0.182,-0.257,3.481499999999999,-0.20999999999999996,-0.9949999999999999,34.809999999999995,3.5035,35.714999999999996,-69.86999999999999,89.52499999999999,39.265,138.29500000000002,-68.05000000000001,-44.135,-110.85999999999999,103.83000000000001,41.1,-73.11,77.91999999999999,61.80499999999999,139.055,-109.98000000000002,-77.36,-109.15499999999997,89.63999999999999,39.92,4.848837209302325,5.348837209302327,11.042424242424241,4.806060606060607
-0.5065000000000002,-0.003999999999999995,-2.79,0.875,5.41,0.0985,-0.012,-0.06950000000000003,-1.365,-6.795,0.09,-0.11150000000000002,-0.441,3.435,-0.735,-1.6900000000000002,34.37,3.4865000000000004,35.55499999999999,-74.475,56.404999999999994,60.714999999999996,137.475,-156.735,-62.32000000000001,-116.65,121.475,40.885,-76.25500000000001,78.415,44.405,133.315,-92.405,-73.29499999999999,-114.82000000000001,123.66500000000003,40.239999999999995,5.151162790697675,5.286046511627907,11.464705882352938,4.794117647058823
-0.48150000000000004,-0.07549999999999998,-3.2449999999999988,0.11500000000000017,5.049999999999999,0.009500000000000003,0.0505,0.06849999999999999,1.1,-5.515,2.9650000000000007,-0.0235,-0.38100000000000006,3.4819999999999993,0.07000000000000005,-2.425,34.309999999999995,3.4824999999999995,35.265,-73.39,72.10000000000001,43.595,134.515,-118.94500000000001,-81.925,-114.975,115.90499999999997,40.345000000000006,-71.92,26.649999999999995,56.629999999999995,137.58999999999997,-100.91,-47.615,-112.87500000000003,67.825,40.445,4.927906976744185,5.316279069767441,11.35151515151515,4.684848484848484
-0.55,-0.048999999999999995,-2.425,1.105,5.41,0.016499999999999987,-0.019500000000000007,0.03050000000000001,-0.22000000000000003,-7.089999999999999,0.5449999999999999,-0.0215,-0.44049999999999995,3.4445,-0.725,-2.01,34.305,3.5184999999999995,35.25500000000001,-71.885,34.95,46.21,140.95,-126.35,-92.57500000000002,-114.69499999999998,141.17499999999998,41.265,-75.425,41.84000000000001,42.375,137.185,-69.70500000000001,-59.489999999999995,-111.05,120.02000000000002,41.55,5.0883720930232545,5.223255813953488,11.56,5.202857142857144
-0.3175,-0.21550000000000002,-1.1350000000000002,-0.3499999999999998,4.755000000000001,-0.003999999999999993,0.0645,0.2585,4.13,-10.1,1.6,0.08299999999999999,-0.13599999999999995,3.4524999999999997,-0.040000000000000036,-0.7699999999999997,34.875,3.4505000000000003,35.480000000000004,-71.565,51.795,61.58,139.855,-121.71,-43.44500000000001,-106.745,120.37000000000003,40.160000000000004,-68.17999999999998,76.545,41.544999999999995,134.575,-105.29,-78.30499999999998,-111.325,102.88499999999999,38.815000000000005,5.162790697674419,5.427906976744186,11.623684210526317,4.055263157894736
-0.47700000000000015,-0.15700000000000003,-2.4099999999999993,1.75,4.994999999999999,-0.023999999999999987,-0.018000000000000002,-0.1145,-0.7699999999999999,-8.455,1.0899999999999996,-0.13199999999999995,-0.33799999999999997,3.4715000000000003,-0.8400000000000001,-2.3050000000000006,34.225,3.5495000000000005,34.98,-75.68499999999999,57.30999999999999,63.27999999999999,139.35999999999999,-68.41,-58.88499999999999,-92.73999999999998,106.38000000000002,40.32000000000001,-69.01499999999999,126.00000000000003,56.37000000000002,139.155,-136.78,-67.46499999999999,-111.91500000000003,133.93,40.925000000000004,4.68139534883721,5.376744186046514,11.517647058823528,4.373529411764706
-0.41500000000000004,0.0785,-3.6100000000000003,1.3350000000000002,5.230000000000001,0.025500000000000005,-0.014500000000000002,0.1895,-2.3799999999999994,-9.190000000000001,1.3,-0.16549999999999998,-0.38,3.428,-0.7150000000000001,-2.655,34.85500000000001,3.4559999999999995,35.705,-76.41499999999999,17.15,48.53,136.63,-103.46,-56.57499999999999,-120.32000000000001,121.62000000000003,39.405,-69.655,35.585,58.580000000000005,134.555,-120.595,-41.6,-114.995,115.42999999999998,39.64000000000001,5.23953488372093,5.334883720930233,11.71142857142857,4.871428571428571
-0.3745,-0.12500000000000006,-1.5500000000000003,0.37,4.824999999999999,0.014499999999999994,0.055499999999999994,-0.032500000000000015,4.675,-10.620000000000001,0.865,-0.017500000000000016,-0.2885,3.4695,0.07000000000000003,-1.5499999999999994,34.195,3.5129999999999995,34.955,-75.725,103.14499999999998,61.910000000000004,139.315,-97.96000000000001,-66.63000000000001,-108.7,119.245,42.415,-69.745,75.93500000000002,41.790000000000006,130.76500000000001,-92.45999999999998,-53.85999999999999,-116.085,112.92999999999999,39.52499999999999,5.144186046511627,5.386046511627907,11.518181818181816,4.757575757575759
-0.2665,-0.21850000000000006,-1.81,0.46000000000000013,5.200000000000001,0.011500000000000007,0.0004999999999999976,0.058499999999999996,-5.950000000000001,-6.119999999999997,2.3649999999999998,0.025499999999999988,-0.25449999999999995,3.504,-0.355,-1.28,34.519999999999996,3.4684999999999997,35.42,-61.235,53.160000000000004,50.60000000000001,137.79000000000002,-104.33500000000001,-75.115,-98.825,83.885,40.40500000000001,-74.325,40.92,61.085,135.82999999999998,-68.115,-61.61500000000001,-111.18500000000002,117.14500000000001,40.349999999999994,5.206976744186045,5.346511627906978,11.374285714285715,4.557142857142856
-0.31799999999999995,0.04999999999999999,-0.8149999999999998,0.35999999999999993,5.325000000000001,0.012499999999999997,0.026500000000000003,-0.14400000000000004,-3.874999999999999,-10.155,1.7950000000000004,-0.03450000000000002,-0.242,3.4165,-0.41,-1.0649999999999993,34.77,3.4595,35.709999999999994,-60.730000000000004,132.825,38.80499999999999,139.74,-119.89500000000001,-65.55499999999999,-115.51000000000002,119.95500000000001,43.720000000000006,-72.615,90.535,44.58,136.03,-108.29999999999998,-57.6,-111.21499999999999,136.805,41.495,4.865116279069769,5.281395348837209,11.417142857142858,4.708571428571428
-0.38099999999999995,0.07699999999999999,-1.73,-0.015000000000000036,4.945,0.0905,0.024999999999999998,0.013000000000000001,2.71,-9.174999999999999,0.9049999999999999,-0.0705,-0.34800000000000003,3.41,-0.10999999999999999,-1.135,35.32,3.4274999999999998,36.045,-56.765,88.55499999999999,31.535000000000004,134.54499999999996,-108.35500000000002,-93.415,-117.78,92.83,39.41,-77.035,42.985,60.644999999999996,135.6,-54.485,-72.13,-115.24999999999997,133.06,41.044999999999995,5.113953488372091,5.283720930232558,11.408333333333333,4.56388888888889
-0.2085,-0.12249999999999997,-0.9649999999999996,-1.61,5.0150000000000015,0.11700000000000003,0.003999999999999998,-0.008000000000000007,0.14500000000000002,-10.250000000000002,2.605,0.12050000000000001,-0.12699999999999997,3.405,1.265,-0.8299999999999995,34.915,3.4099999999999993,35.89,-75.19999999999999,103.85499999999999,51.510000000000005,132.96500000000003,-109.28000000000002,-87.02,-114.45,115.77500000000002,39.365,-75.295,73.03,45.925,136.32,-106.665,-58.254999999999995,-113.14999999999998,132.10999999999999,40.315000000000005,5.106976744186046,5.427906976744188,11.345714285714287,4.4971428571428556
-0.422,-0.1355,-2.3250000000000006,0.3300000000000002,5.005,0.11750000000000001,-0.0045,0.06200000000000002,-0.005000000000000071,-9.835,0.17499999999999988,0.05349999999999999,-0.43000000000000005,3.418,-0.2949999999999999,-1.83,35.00000000000001,3.3805,35.77,-68.94500000000001,71.325,62.42999999999999,135.47000000000003,-75.85,-87.625,-113.83999999999999,102.205,40.169999999999995,-71.475,76.00999999999999,59.795,136.68,-89.595,-76.535,-113.5,150.85999999999999,41.99,4.858139534883722,5.288372093023256,11.68888888888889,4.836111111111112
-0.3380000000000001,-0.08349999999999999,-1.0850000000000002,-0.21000000000000035,5.365,0.04099999999999998,0.010000000000000002,0.04849999999999999,1.2049999999999996,-10.084999999999999,2.765,0.016500000000000004,-0.2785000000000001,3.4425000000000003,0.24999999999999986,-0.9250000000000002,34.809999999999995,3.4519999999999995,35.71999999999999,-62.660000000000004,89.53500000000001,67.88499999999999,135.04000000000002,-53.67499999999999,-56.42999999999999,-114.64499999999998,118.16,39.59000000000001,-54.36500000000001,54.35,57.54,139.41000000000003,-105.59,-59.075,-113.95,83.99500000000002,41.52,4.723255813953489,5.362790697674418,11.46111111111111,4.6194444444444445
